dialogue,anger,disgust,fear,joy,neutral,sadness,surprise,loudness
Did you see that incredible sunset last night?,0.008114766,0.002938331,0.013041529,0.019794453,0.12995179,0.005857061,0.820302069,
"Wow, this party is amazing!",0.003821802,0.002154925,0.002882178,0.032708723,0.010732159,0.002090522,0.945609748,
You got the job? Seriously?,0.102502994,0.032573797,0.003627548,0.014145731,0.021263935,0.004801091,0.821084917,
You're telling me this is the best pizza in town?,0.056410823,0.024431726,0.005413129,0.046955779,0.162661165,0.006859961,0.697267413,
What on earth is happening right now?,0.140471429,0.159820855,0.017604889,0.002607094,0.161032796,0.014748136,0.5037148,
I can't believe we're going on a road trip!,0.017842205,0.00642256,0.006396297,0.004854419,0.004041921,0.003148932,0.95729363,
"Haha, that joke cracked me up!",0.008166239,0.004189916,0.000572665,0.93103379,0.034890607,0.003380825,0.017765893,
"Oh, great idea. What could possibly go wrong?",0.083393477,0.0177777,0.039781429,0.023000009,0.022160698,0.006946402,0.806940258,
Why does this always happen to me?,0.168957099,0.039053865,0.052139331,0.0018398,0.066497557,0.014990893,0.65652144,
I wonder what's inside this mysterious package.,0.004657623,0.004036764,0.007199844,0.001821574,0.010643228,0.001745289,0.969895661,
I got tickets to the concert! Can you believe it?,0.020854298,0.003132946,0.001834507,0.018398188,0.007136709,0.003480874,0.945162475,
Thanks a million for helping me out!,0.015695922,0.002058868,0.001391464,0.808932245,0.03884913,0.006653723,0.126418605,
Did you hear that noise? What was it?,0.026658127,0.021210965,0.036193006,0.003564631,0.047755849,0.006590987,0.858026445,
This project is going to be fantastic!,0.003122688,0.001190561,0.00160747,0.959185898,0.017251676,0.00118257,0.016459269,
I thought they would do better than this.,0.025214396,0.025992231,0.004015174,0.012603865,0.807653069,0.00894439,0.11557693,
I can't believe you said that! How dare you?,0.96515286,0.0084397,0.012795394,0.001020986,0.002041375,0.00203461,0.008514999,
I shouldn't have said those things. I messed up.,0.503515363,0.276245803,0.017772723,0.004241711,0.083198436,0.099372089,0.015653972,
I aced the exam! Hard work pays off.,0.150360152,0.03058112,0.008025764,0.350600243,0.086685359,0.024531331,0.349216074,
I hope everything will turn out okay in the end.,0.006583678,0.005649179,0.003654212,0.594653904,0.363527685,0.018112646,0.007818725,
I just read the most inspiring book!,0.005904713,0.003394837,0.002172993,0.815200984,0.040528025,0.002580615,0.13021788,
This food tastes awful. I can't eat it.,0.003790301,0.968305409,0.013552356,0.000387935,0.004431608,0.00811101,0.001421304,
I can't wait to see what the future holds.,0.001721575,0.001259115,0.002339458,0.966102958,0.021510677,0.003555406,0.003510889,
